state,income
alabama,"44765"
alaska,"73355"
arizona,"51492"
arkansas,"41995"
california,"64500"
colorado,"63909"
connecticut,"71346"
delaware,"61255"
district of columbia,"75628"
florida,"49426"
georgia,"51244"
hawaii,"73486"
idaho,"48275"
illinois,"59588"
indiana,"50532"
iowa,"54736"
kansas,"53906"
kentucky,"45215"
louisiana,"45727"
maine,"51494"
maryland,"75847"
massachusetts,"70628"
michigan,"51084"
minnesota,"63488"
mississippi,"40594"
missouri,"50238"
montana,"49509"
nebraska,"54996"
nevada,"52431"
new hampshire,"70303"
new jersey,"72222"
new mexico,"45382"
new york,"60850"
north carolina,"47830"
north dakota,"60557"
ohio,"51075"
oklahoma,"48568"
oregon,"54148"
pennsylvania,"55702"
puerto rico,"18626"
rhode island,"58073"
south carolina,"47238"
south dakota,"53017"
tennessee,"47275"
texas,"55653"
utah,"62912"
vermont,"56990"
virginia,"66262"
washington,"64129"
west virginia,"42019"
wisconsin,"55638"
wyoming,"60214"
